"QueryName","CurrencyCode","ServiceName","ProductName","SkuName","ArmSkuName","MeterName","ServiceFamily","UnitOfMeasure","TierMinimumUnits","PriceType","ReservationTerm","West Europe","Sweden Central","Italy North","Germany West Central","Spain Central","Switzerland North","Belgium Central","France Central","Norway East","Austria East","Denmark East","Poland Central"
"Key Vault Premium Advanced Key Operations","USD","Key Vault","Key Vault","Premium","","Advanced Key Operations","Security","10K","0.0","Consumption",,"0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15","0.15"
"Key Vault HSM Pool B1","USD","Key Vault","Key Vault HSM Pool","Standard B1","","Standard B1 Instance","Security","1 Hour","0.0","Consumption",,"3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2"
"App Service Premium v3 P1 Windows","USD","Azure App Service","Azure App Service Premium v3 Plan","P1 v3","Standard_P1_v3_Windows","P1 v3 App","Compute","1 Hour","0.0","Consumption",,"0.338","0.338","0.338","0.338","0.338","0.3718","0.338","0.334","0.357","0.338","0.4095","0.338"
"App Service Premium v3 P1 Linux","USD","Azure App Service","Azure App Service Premium v3 Plan - Linux","P1 v3","Azure_App_Service_Premium_v3_Plan_Linux_P1_v3","P1 v3 App","Compute","1 Hour","0.0","Consumption",,"0.178","0.178","0.178","0.178","0.178","0.1958","0.178","0.174","0.197","0.178","0.2015","0.178"
"API Management Consumption Calls","USD","API Management","API Management","Consumption","","Consumption Calls","Developer Tools","10K","0.0","Consumption",,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"API Management Consumption Calls","USD","API Management","API Management","Consumption","","Consumption Calls","Developer Tools","10K","100.0","Consumption",,"0.035","0.035","0.035","0.035","0.035","0.0525","0.035","0.035","0.0385","0.035","0.035","0.035"
"API Management Standard v2 Unit","USD","API Management","API Management","Standard v2","Standard v2","Standard v2 Unit","Developer Tools","1 Hour","0.0","Consumption",,"0.9589","1.25","1.25","0.9589","0.9589","0.9589","0.9589","0.9589","0.9589","0.9589","0.9589","0.958904"
"API Management Premium Unit","USD","API Management","API Management","Premium","","Premium Unit","Developer Tools","1 Hour","0.0","Consumption",,"3.829","3.829","3.829","3.829","3.829","3.829","3.829","3.829","3.829","3.829","3.829","3.829"
"Event Grid Standard Event Operations","USD","Event Grid","Event Grid","Standard","","Standard Event Operations","Internet of Things","1M","0.0","Consumption",,"0.0","0.0","0.0","0.0","0.0","0.0","0.6","0.0","0.0","0.0","n/a","0.0"
"Event Grid Standard Event Operations","USD","Event Grid","Event Grid","Standard","","Standard Event Operations","Internet of Things","1M","1.0","Consumption",,"0.6","0.6","0.6","0.6","0.6","0.6","n/a","0.6","0.6","0.6","n/a","0.6"
"Event Grid Standard MQTT Operations","USD","Event Grid","Event Grid","Standard","","Standard MQTT Operations","Internet of Things","1M","0.0","Consumption",,"0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","n/a","0.0"
